Cell,Label,Sex,Sample
1772071015_C02,5_interneurons,Male,1
1772071017_G12,5_interneurons,Female,2
1772071017_A05,5_interneurons,Male,3
1772071014_B06,5_interneurons,Female,4
1772067065_H06,5_interneurons,Male,5
1772071017_E02,5_interneurons,Female,6
1772067065_B07,5_interneurons,Male,7
1772067060_B09,5_interneurons,Female,8
1772071014_E04,5_interneurons,Male,9
1772071015_D04,5_interneurons,Female,10
1772071015_C11,5_interneurons,Male,11
1772071017_D04,5_interneurons,Female,12
1772071017_D06,5_interneurons,Male,13
1772067082_D07,5_interneurons,Female,14
1772071017_F09,5_interneurons,Male,15
1772071017_A09,5_interneurons,Female,16
1772067094_C05,5_interneurons,Male,17
1772067059_B06,5_interneurons,Female,18
1772067096_E05,5_interneurons,Male,19
1772066089_C05,5_interneurons,Female,20
1772067094_F04,5_interneurons,Male,21
1772071045_A01,5_interneurons,Female,22
1772071015_C08,5_interneurons,Male,23
1772071045_D06,5_interneurons,Female,24
1772071017_A03,5_interneurons,Male,25
1772071017_F07,5_interneurons,Female,26
1772071017_E06,5_interneurons,Male,27
1772067066_C10,5_interneurons,Female,28
1772071017_B05,5_interneurons,Male,29
1772071014_E06,5_interneurons,Female,30
1772067058_D11,5_interneurons,Male,31
1772071014_B04,5_interneurons,Female,32
1772067066_B09,5_interneurons,Male,33
1772071017_E10,5_interneurons,Female,34
1772071015_B08,5_interneurons,Male,35
1772071014_C11,5_interneurons,Female,36
1772067066_E10,5_interneurons,Male,37
1772067065_F11,5_interneurons,Female,38
1772071014_H11,5_interneurons,Male,39
1772071017_B11,5_interneurons,Female,40
1772071014_A07,5_interneurons,Male,41
1772071017_B03,5_interneurons,Female,42
1772071015_B04,5_interneurons,Male,43
1772071014_D03,5_interneurons,Female,44
1772067065_D06,5_interneurons,Male,45
1772067066_H08,5_interneurons,Female,46
1772067096_G11,5_interneurons,Male,47
1772071017_G11,5_interneurons,Female,48
1772067054_E12,5_interneurons,Male,49
1772067083_B12,5_interneurons,Female,50
1772067054_G01,5_interneurons,Male,51
1772067096_A02,5_interneurons,Female,52
1772067093_H05,5_interneurons,Male,53
1772067083_B09,5_interneurons,Female,54
1772071014_H12,5_interneurons,Male,55
1772067082_H11,5_interneurons,Female,56
1772067094_D06,5_interneurons,Male,57
